geneIDA	geneIDB	bitScore
MTR_0002s1220	MTR_3g116210	141
MTR_0002s1220	MTR_6g016265	127
MTR_0002s1240	MTR_3g097540	81.6
MTR_0002s1250	MTR_8g005750	208
MTR_0002s1250	MTR_8g032510	269
MTR_0002s1260	MTR_3g097540	81.6
MTR_0002s1270	MTR_4g066310	299
MTR_0002s1270	MTR_5g077900	475
MTR_0002s1270	MTR_7g046380	714
MTR_0002s1280	MTR_2g098770	498
MTR_0003s0010	MTR_7g032720	97.8
MTR_0003s0010	MTR_7g032820	89.4
MTR_0003s0060	MTR_2g436960	171
MTR_0003s0060	MTR_6g074140	132
MTR_0003s0070	MTR_6g074140	115
MTR_0003s0080	MTR_6g074120	135
MTR_0003s0090	MTR_0007s0080	395
MTR_0003s0090	MTR_0277s0010	917
MTR_0003s0090	MTR_0277s0020	952
MTR_0003s0090	MTR_0419s0040	934
MTR_0003s0090	MTR_1g060030	675
MTR_0003s0090	MTR_1g063960	877
MTR_0003s0090	MTR_4g016610	784
MTR_0003s0090	MTR_4g050910	1465
MTR_0003s0090	MTR_6g069560	742
MTR_0003s0090	MTR_6g071430	862
MTR_0003s0090	MTR_6g072480	835
MTR_0003s0090	MTR_6g072760	774
MTR_0003s0090	MTR_6g072780	633
MTR_0003s0090	MTR_6g073250	829
MTR_0003s0090	MTR_6g074090	1615
MTR_0003s0090	MTR_6g074620	933
MTR_0003s0090	MTR_6g074650	747
MTR_0003s0090	MTR_6g074810	914
MTR_0003s0090	MTR_6g076220	796
MTR_0003s0090	MTR_6g471160	665
MTR_0003s0090	MTR_6g471260	553
MTR_0003s0090	MTR_6g472230	836
MTR_0003s0090	MTR_6g472300	839
MTR_0003s0090	MTR_6g478020	944
MTR_0003s0090	MTR_8g087130	488
MTR_0003s0130	MTR_0003s0180	108
MTR_0003s0130	MTR_0003s0210	84.3
MTR_0003s0160	MTR_0439s0040	183
MTR_0003s0160	MTR_6g016455	167
MTR_0003s0180	MTR_0003s0130	108
MTR_0003s0180	MTR_0003s0210	105
MTR_0003s0210	MTR_0003s0130	84.3
MTR_0003s0210	MTR_0003s0180	105
MTR_0003s0250	MTR_1g093010	231
MTR_0003s0250	MTR_3g074460	127
MTR_0003s0250	MTR_8g015280	129
MTR_0003s0260	MTR_3g102890	136
MTR_0003s0260	MTR_6g055270	132
MTR_0003s0290	MTR_1g043690	505
MTR_0003s0290	MTR_2g450060	533
MTR_0003s0290	MTR_5g004860	612
MTR_0003s0290	MTR_5g041170	506
MTR_0003s0290	MTR_5g064590	241
MTR_0003s0290	MTR_6g055250	344
MTR_0003s0290	MTR_7g450880	525
MTR_0003s0390	MTR_0002s0870	395
MTR_0003s0390	MTR_0017s0290	430
MTR_0003s0390	MTR_0073s0010	368
MTR_0003s0390	MTR_0356s0050	279
MTR_0003s0390	MTR_1g012040	537
MTR_0003s0390	MTR_1g021210	570
MTR_0003s0390	MTR_1g081340	335
MTR_0003s0390	MTR_1g107470	374
MTR_0003s0390	MTR_2g064230	432
MTR_0003s0390	MTR_2g066670	426
MTR_0003s0390	MTR_3g034020	416
MTR_0003s0390	MTR_3g113230	393
MTR_0003s0390	MTR_3g434910	538
MTR_0003s0390	MTR_4g036720	342
MTR_0003s0390	MTR_4g132830	211
MTR_0003s0390	MTR_5g032940	273
MTR_0003s0390	MTR_5g040660	246
MTR_0003s0390	MTR_5g059380	304
MTR_0003s0390	MTR_5g061500	498
MTR_0003s0390	MTR_6g029550	254
MTR_0003s0390	MTR_7g022020	500
MTR_0003s0390	MTR_7g034270	452
MTR_0003s0390	MTR_7g062790	259
MTR_0003s0390	MTR_8g061330	387
MTR_0003s0390	MTR_8g469370	378
MTR_0003s0460	MTR_1g069910	1510
MTR_0003s0530	MTR_2g058450	163
MTR_0003s0560	MTR_1g020090	433
MTR_0003s0580	MTR_3g028060	225
MTR_0003s0590	MTR_1g053070	204
MTR_0003s0620	MTR_2g035820	156
MTR_0003s0660	MTR_0076s0020	496
MTR_0003s0660	MTR_7g018290	685
MTR_0003s0660	MTR_7g018310	679
MTR_0003s0660	MTR_7g018320	624
MTR_0003s0660	MTR_8g069905	461
MTR_0003s0690	MTR_7g109760	99.0
MTR_0003s0690	MTR_7g109780	274
MTR_0004s0190	MTR_6g087290	116
MTR_0004s0250	MTR_3g053420	97.8
MTR_0004s0260	MTR_1g086750	246
MTR_0004s0260	MTR_1g100375	338
MTR_0004s0260	MTR_1g471070	331
MTR_0004s0260	MTR_2g022120	405
MTR_0004s0260	MTR_2g072860	336
MTR_0004s0260	MTR_3g093185	238
MTR_0004s0260	MTR_3g450670	331
MTR_0004s0260	MTR_3g464170	338
MTR_0004s0260	MTR_3g464310	342
MTR_0004s0260	MTR_3g464850	435
MTR_0004s0260	MTR_4g046090	194
MTR_0004s0260	MTR_5g077245	402
MTR_0004s0260	MTR_6g016670	342
MTR_0004s0260	MTR_6g051405	337
MTR_0004s0260	MTR_7g062380	294
MTR_0004s0260	MTR_7g072210	427
MTR_0004s0260	MTR_7g083520	432
MTR_0004s0260	MTR_7g461350	342
MTR_0004s0260	MTR_8g045460	245
MTR_0004s0350	MTR_3g035330	108
MTR_0004s0350	MTR_4g133385	78.2
MTR_0004s0350	MTR_5g070595	98.6
MTR_0004s0350	MTR_5g084490	110
MTR_0004s0350	MTR_6g059610	97.4
MTR_0004s0360	MTR_0014s0010	72.8
MTR_0004s0360	MTR_0114s0100	117
MTR_0004s0360	MTR_0600s0020	129
MTR_0004s0360	MTR_2g059937	129
MTR_0004s0360	MTR_4g012660	50.1
MTR_0004s0360	MTR_4g013380	55.1
MTR_0004s0360	MTR_4g046857	105
MTR_0004s0360	MTR_5g029155	63.9
MTR_0004s0360	MTR_6g464100	100
MTR_0004s0360	MTR_8g059205	103
MTR_0004s0450	MTR_1g042830	62.4
MTR_0004s0450	MTR_2g037800	62.0
MTR_0004s0450	MTR_5g082860	60.5
MTR_0004s0490	MTR_6g005670	1260
MTR_0004s0610	MTR_1g051205	682
MTR_0004s0610	MTR_5g068170	516
MTR_0004s0650	MTR_2g460810	499
MTR_0005s0070	MTR_2g039410	276
MTR_0005s0110	MTR_3g058720	649
MTR_0005s0110	MTR_4g043630	2343
MTR_0005s0110	MTR_8g433010	677
MTR_0005s0140	MTR_3g103070	1144
MTR_0005s0140	MTR_4g008650	1327
MTR_0005s0140	MTR_4g096990	1139
MTR_0005s0140	MTR_8g090125	1347
MTR_0005s0150	MTR_1g085310	337
MTR_0005s0150	MTR_1g085320	296
MTR_0005s0150	MTR_3g112060	345
MTR_0005s0150	MTR_4g043760	598
MTR_0005s0150	MTR_5g020890	330
MTR_0005s0200	MTR_3g070590	1125
MTR_0005s0200	MTR_3g071070	955
MTR_0005s0200	MTR_3g071130	1172
MTR_0005s0210	MTR_3g070650	318
MTR_0005s0210	MTR_3g071010	329
MTR_0005s0210	MTR_3g071040	328
MTR_0005s0210	MTR_3g071080	328
MTR_0005s0220	MTR_0083s0070	289
MTR_0005s0220	MTR_0214s0030	270
MTR_0005s0220	MTR_0360s0010	259
MTR_0005s0220	MTR_0520s0020	219
MTR_0005s0220	MTR_1g036730	257
MTR_0005s0220	MTR_1g053405	145
MTR_0005s0220	MTR_2g058650	312
MTR_0005s0220	MTR_2g061240	257
MTR_0005s0220	MTR_2g083590	241
MTR_0005s0220	MTR_3g028620	330
MTR_0005s0220	MTR_3g033840	243
MTR_0005s0220	MTR_3g034000	156
MTR_0005s0220	MTR_3g060830	309
MTR_0005s0220	MTR_3g117535	155
MTR_0005s0220	MTR_4g022300	133
MTR_0005s0220	MTR_4g045603	310
MTR_0005s0220	MTR_4g054700	261
MTR_0005s0220	MTR_4g061900	160
MTR_0005s0220	MTR_4g069290	249
MTR_0005s0220	MTR_5g009790	296
MTR_0005s0220	MTR_5g044895	299
MTR_0005s0220	MTR_5g048800	257
MTR_0005s0220	MTR_5g053480	241
MTR_0005s0220	MTR_5g055710	207
MTR_0005s0220	MTR_5g063995	288
MTR_0005s0220	MTR_5g067630	288
MTR_0005s0220	MTR_5g072370	303
MTR_0005s0220	MTR_5g080380	180
MTR_0005s0220	MTR_5g084150	153
MTR_0005s0220	MTR_6g036940	225
MTR_0005s0220	MTR_6g042710	220
MTR_0005s0220	MTR_6g043270	280
MTR_0005s0220	MTR_6g044850	158
MTR_0005s0220	MTR_6g466390	147
MTR_0005s0220	MTR_7g051090	221
MTR_0005s0220	MTR_7g055890	211
MTR_0005s0220	MTR_7g056780	193
MTR_0005s0220	MTR_7g061360	303
MTR_0005s0220	MTR_7g061620	306
MTR_0005s0220	MTR_8g466300	289
MTR_0005s0220	MTR_8g470030	310
MTR_0005s0220	MTR_8g479440	191
MTR_0005s0250	MTR_0362s0010	126
MTR_0005s0250	MTR_0441s0020	76.3
MTR_0005s0260	MTR_0068s0060	114
MTR_0005s0260	MTR_0327s0020	105
MTR_0005s0260	MTR_0582s0010	105
MTR_0005s0260	MTR_1g040275	135
MTR_0005s0260	MTR_3g048420	84.7
MTR_0006s0020	MTR_0006s0250	449
MTR_0006s0020	MTR_0006s0290	385
MTR_0006s0020	MTR_0012s0160	275
MTR_0006s0020	MTR_1g036880	569
MTR_0006s0080	MTR_1g037130	1681
MTR_0006s0080	MTR_1g037250	2655
MTR_0006s0080	MTR_1g050402	1083
MTR_0006s0080	MTR_1g442750	1812
MTR_0006s0080	MTR_8g059275	1165
MTR_0006s0080	MTR_8g059345	1558
MTR_0006s0140	MTR_1g036860	568
MTR_0006s0140	MTR_1g051670	362
MTR_0006s0160	MTR_0006s0300	926
MTR_0006s0160	MTR_0069s0080	746
MTR_0006s0160	MTR_0460s0010	882
MTR_0006s0210	MTR_1g036770	256
MTR_0006s0210	MTR_1g037060	171
MTR_0006s0210	MTR_6g462610	256
MTR_0006s0230	MTR_0006s0240	2590
MTR_0006s0230	MTR_0012s0150	2167
MTR_0006s0230	MTR_0068s0080	2300
MTR_0006s0230	MTR_0069s0040	2528
MTR_0006s0230	MTR_1g036750	2938
MTR_0006s0230	MTR_1g036800	2299
MTR_0006s0230	MTR_1g037130	3962
MTR_0006s0230	MTR_1g037150	2539
MTR_0006s0230	MTR_1g037250	1585
MTR_0006s0230	MTR_1g041550	2608
MTR_0006s0230	MTR_1g050402	1629
MTR_0006s0230	MTR_1g051585	2622
MTR_0006s0230	MTR_1g442750	2413
MTR_0006s0230	MTR_2g089975	2534
MTR_0006s0230	MTR_6g463150	2483
MTR_0006s0230	MTR_6g464050	2040
MTR_0006s0240	MTR_1g037010	2326
MTR_0006s0240	MTR_1g044020	1699
MTR_0006s0240	MTR_1g050402	1562
MTR_0006s0240	MTR_1g442750	3479
MTR_0006s0240	MTR_6g464050	1869
MTR_0006s0250	MTR_0460s0010	435
MTR_0006s0250	MTR_8g059385	382
MTR_0006s0290	MTR_0006s0020	385
MTR_0006s0290	MTR_0006s0250	639
MTR_0006s0290	MTR_1g036820	603
MTR_0006s0290	MTR_1g036880	659
MTR_0006s0300	MTR_0069s0050	447
MTR_0006s0300	MTR_0460s0010	536
MTR_0006s0300	MTR_0783s0010	566
MTR_0007s0020	MTR_0074s0060	826
MTR_0007s0020	MTR_1g105600	827
MTR_0007s0020	MTR_1g105640	572
MTR_0007s0020	MTR_6g057680	603
MTR_0007s0020	MTR_6g057750	991
MTR_0007s0020	MTR_6g057770	1326
MTR_0007s0020	MTR_6g463400	602
MTR_0007s0020	MTR_6g463660	603
MTR_0007s0020	MTR_6g463700	909
MTR_0007s0020	MTR_6g463710	1325
MTR_0007s0020	MTR_6g463830	1247
MTR_0007s0020	MTR_8g028065	986
MTR_0007s0080	MTR_6g471210	232
MTR_0007s0090	MTR_0007s0070	667
MTR_0007s0140	MTR_0007s0060	1070
MTR_0007s0140	MTR_4g051662	483
MTR_0007s0150	MTR_6g077640	436
MTR_0007s0160	MTR_7g060880	59.3
MTR_0007s0380	MTR_1g102370	203
MTR_0007s0480	MTR_0007s0520	355
MTR_0007s0480	MTR_6g464280	167
MTR_0007s0480	MTR_6g464320	164
MTR_0007s0480	MTR_6g464510	171
MTR_0007s0520	MTR_0007s0480	355
MTR_0007s0520	MTR_6g464280	298
MTR_0007s0520	MTR_6g464510	308
MTR_0008s0060	MTR_0273s0020	67.8
MTR_0008s0060	MTR_0718s0040	97.8
MTR_0008s0060	MTR_1g053410	95.9
MTR_0008s0060	MTR_1g053430	95.9
MTR_0008s0060	MTR_6g049100	55.8
MTR_0008s0120	MTR_7g013120	223
MTR_0008s0120	MTR_7g013140	236
MTR_0008s0120	MTR_8g464350	241
MTR_0008s0130	MTR_0008s0170	702
MTR_0008s0130	MTR_1g071120	624
MTR_0008s0130	MTR_2g011580	522
MTR_0008s0130	MTR_2g011600	541
MTR_0008s0130	MTR_2g047968	611
MTR_0008s0130	MTR_2g089520	635
MTR_0008s0130	MTR_4g050990	635
MTR_0008s0130	MTR_8g007285	381
MTR_0008s0280	MTR_0008s0390	171
MTR_0008s0280	MTR_1g062940	140
MTR_0008s0310	MTR_0046s0090	372
MTR_0008s0390	MTR_0008s0280	171
MTR_0008s0390	MTR_0008s0470	434
MTR_0008s0390	MTR_0197s0010	138
MTR_0008s0390	MTR_0251s0050	375
MTR_0008s0390	MTR_3g097450	164
MTR_0008s0390	MTR_4g100720	150
MTR_0008s0390	MTR_5g078800	140
MTR_0008s0390	MTR_7g115650	174
MTR_0008s0470	MTR_0008s0390	434
MTR_0008s0470	MTR_0251s0050	363
MTR_0008s0470	MTR_7g115650	182
MTR_0009s0020	MTR_5g065260	156
MTR_0009s0040	MTR_1g037510	145
MTR_0009s0050	MTR_0009s0480	488
MTR_0009s0050	MTR_0056s0160	360
MTR_0009s0050	MTR_0328s0030	500
MTR_0009s0050	MTR_1g033810	390
MTR_0009s0050	MTR_2g072890	425
MTR_0009s0050	MTR_2g072910	318
MTR_0009s0050	MTR_5g048470	493
MTR_0009s0050	MTR_5g048550	536
MTR_0009s0050	MTR_5g048570	632
MTR_0009s0050	MTR_5g048740	480
MTR_0009s0050	MTR_5g048850	409
MTR_0009s0050	MTR_5g055680	623
MTR_0009s0050	MTR_5g055690	507
MTR_0009s0050	MTR_5g055800	478
MTR_0009s0050	MTR_5g055820	500
MTR_0009s0050	MTR_5g055900	624
MTR_0009s0050	MTR_8g064200	498
MTR_0009s0080	MTR_5g007410	370
MTR_0009s0080	MTR_6g045333	355
MTR_0009s0100	MTR_0029s0090	70.5
MTR_0009s0150	MTR_3g050960	175
MTR_0009s0230	MTR_4g007070	241
MTR_0009s0230	MTR_8g066040	379
MTR_0009s0240	MTR_8g071070	725
MTR_0009s0270	MTR_0032s0190	75.1
MTR_0009s0270	MTR_0138s0070	95.1
MTR_0009s0270	MTR_0228s0020	83.6
MTR_0009s0270	MTR_6g033360	75.5
MTR_0009s0270	MTR_6g060620	95.5
MTR_0009s0270	MTR_7g014345	97.1
MTR_0009s0270	MTR_7g026973	63.5
MTR_0009s0270	MTR_8g446650	84.0
MTR_0009s0340	MTR_2g073390	664
MTR_0009s0340	MTR_4g074290	685
MTR_0009s0350	MTR_2g073390	664
MTR_0009s0350	MTR_4g074290	685
MTR_0009s0370	MTR_0204s0020	533
MTR_0009s0370	MTR_1g038600	530
MTR_0009s0370	MTR_1g038630	572
MTR_0009s0370	MTR_1g104750	484
MTR_0009s0370	MTR_3g007910	608
MTR_0009s0370	MTR_3g008160	479
MTR_0009s0370	MTR_3g008170	486
MTR_0009s0370	MTR_3g023480	827
MTR_0009s0370	MTR_3g093010	672
MTR_0009s0370	MTR_3g093060	600
MTR_0009s0370	MTR_4g090600	587
MTR_0009s0370	MTR_4g091370	620
MTR_0009s0370	MTR_5g006070	523
MTR_0009s0370	MTR_5g082540	566
MTR_0009s0370	MTR_6g087040	478
MTR_0009s0370	MTR_6g088375	478
MTR_0009s0380	MTR_1g112620	67.0
MTR_0009s0380	MTR_4g061390	114
MTR_0009s0380	MTR_4g114090	97.8
MTR_0009s0380	MTR_8g071200	51.6
MTR_0009s0390	MTR_5g097320	961
MTR_0009s0400	MTR_0056s0160	230
MTR_0009s0410	MTR_5g048850	228
MTR_0009s0480	MTR_0009s0050	488
MTR_0009s0480	MTR_0056s0160	355
MTR_0009s0480	MTR_0328s0030	587
MTR_0009s0480	MTR_1g033810	374
MTR_0009s0480	MTR_2g072890	401
MTR_0009s0480	MTR_2g072910	305
MTR_0009s0480	MTR_5g048470	482
MTR_0009s0480	MTR_5g048550	468
MTR_0009s0480	MTR_5g048570	488
MTR_0009s0480	MTR_5g048740	586
MTR_0009s0480	MTR_5g048850	396
MTR_0009s0480	MTR_5g055680	499
MTR_0009s0480	MTR_5g055690	482
MTR_0009s0480	MTR_5g055800	575
MTR_0009s0480	MTR_5g055820	491
MTR_0009s0480	MTR_5g055900	495
MTR_0009s0480	MTR_8g064200	493
MTR_0010s0050	MTR_4g077570	130
MTR_0010s0110	MTR_3g436230	129
MTR_0010s0110	MTR_5g044110	150
MTR_0010s0110	MTR_6g011130	164
MTR_0010s0110	MTR_8g107180	120
MTR_0010s0130	MTR_0132s0050	556
MTR_0010s0130	MTR_0387s0030	501
MTR_0010s0130	MTR_0547s0010	622
MTR_0010s0130	MTR_0752s0020	736
MTR_0010s0130	MTR_1g053665	566
MTR_0010s0130	MTR_4g046907	622
MTR_0010s0130	MTR_5g049460	611
MTR_0010s0130	MTR_6g039060	518
MTR_0010s0130	MTR_6g049080	518
MTR_0010s0270	MTR_3g102970	128
MTR_0010s0270	MTR_7g017560	94.0
MTR_0010s0290	MTR_0010s0320	547
MTR_0010s0290	MTR_5g078270	339
MTR_0010s0310	MTR_5g078270	303
MTR_0010s0360	MTR_5g093750	184
MTR_0010s0400	MTR_8g028460	412
MTR_0011s0020	MTR_2g037830	881
MTR_0011s0020	MTR_3g005560	1052
MTR_0011s0020	MTR_3g450800	1108
MTR_0011s0100	MTR_0058s0150	202
MTR_0011s0100	MTR_4g051153	117
MTR_0011s0100	MTR_5g049330	152
MTR_0011s0210	MTR_0011s0260	562
MTR_0011s0210	MTR_5g014560	166
MTR_0011s0210	MTR_6g047570	365
MTR_0011s0260	MTR_0011s0210	562
MTR_0011s0260	MTR_5g014560	168
MTR_0011s0260	MTR_6g047570	369
MTR_0011s0280	MTR_8g007325	219
MTR_0011s0320	MTR_0662s0010	460
MTR_0011s0320	MTR_3g107470	521
MTR_0011s0330	MTR_4g114330	225
MTR_0012s0150	MTR_0006s0160	1229
MTR_0012s0150	MTR_0006s0240	2271
MTR_0012s0150	MTR_0068s0080	1949
MTR_0012s0150	MTR_0069s0040	2056
MTR_0012s0150	MTR_1g036750	2326
MTR_0012s0150	MTR_1g037150	2350
MTR_0012s0150	MTR_1g041550	2439
MTR_0012s0150	MTR_1g050402	1420
MTR_0012s0150	MTR_1g051585	2428
MTR_0012s0150	MTR_1g442750	2137
MTR_0012s0150	MTR_6g463150	2234
MTR_0012s0150	MTR_6g464050	1924
MTR_0012s0160	MTR_0006s0020	275
MTR_0012s0240	MTR_0001s0700	123
MTR_0012s0240	MTR_0029s0220	114
